tt0060028,"Action, Adventure, Sci-Fi",N/A,0b60f2f38bf80dbebe43a1854547b0af6a19fb11,Star Trek: The Original Series,"The adventures of the USS Enterprise, representing the United Federation of Planets on a five-year mission in outer space to explore new worlds, seek new life and new civilizations, and to boldly go where no one has gone before. The Enterprise is commanded by handsome and brash Captain James T. Kirk. His First Officer and best friend is Mr. Spock from the planet Vulcan, and Kirk's Medical Officer is Dr. Leonard ""Bones"" McCoy. With a crew of approximately 430, the Enterprise battles aliens, megalomaniacal computers, time paradoxes, psychotic murderers, and even Khan!",,8.3,
tt0120844,"Action, Adventure, Sci-Fi, Thriller",Jonathan Frakes,,Star Trek: Insurrection,"While on a mission to observe the peaceful Ba'ku race, Lt. Commander Data suddenly behaves as if having to fear for his existence. The immortal Ba'ku, whose planet offers regenerative radiation and therefore incredible lifespans, live in harmony with nature and reject advanced technology. Their planet and their culture is secretly researched by the Federation associated with an alien race called the Son'a. But the Son'a intend to abduct the Ba'ku in order to take the planet for themselves and for the Starfleet officials who all would like to regenerate their bodies. But they did not think of the loyalty of Captain Jean-Luc Picard and the crew of the Enterprise-E to the Prime Directive.",,6.4,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f3457eb5061f8f7cab919ab67235c5d4cd""}, {""id"": ""0b60f2f3457eb5061f8f7cab919ab67235c5d4cd""}]"
tt0102975,"Action, Adventure, Sci-Fi, Thriller",Nicholas Meyer,,Star Trek VI: The Undiscovered Country,"After an explosion on their moon, the Klingons have an estimated 50 years before their ozone layer is completely depleted, and they all die. They have only one choice - to make peace with the Federation, which will mean an end to 70 years of conflict. Captain James T. Kirk and crew are called upon to help in the negotiations because of their experience with the Klingons. Peace talks don't quite proceed, and Kirk and McCoy are convicted of assassinating the Klingon High Chancellor, and imprisoned on Rura Penthe, a snowy hard-labor prison camp. Will they manage to escape? And will there ever be peace with the Klingons?",,7.2,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f369d1ddbe61384187bc0b15383debc5e4""}, {""id"": ""0b60f2f38fae6648f0bcaf5057a69b9ffaf97b23""}, {""id"": ""0b60f2f3bf2af966d1f3f9cdc7a02eecdb43a0e1""}, {""id"": ""0b60f2f331163952425b22201eaa3a533cc62090""}, {""id"": ""0b60f2f32081b2e78e2ed98fded35c76d469b165""}]"
tt0112178,"Action, Adventure, Sci-Fi",N/A,,Star Trek: Voyager,"The Federation starship USS Voyager, chasing a band of Maquis rebels, enters the dangerous space nebula known as the Badlands. Both ships are transported by a distant space probe to the Delta Quadrant, 75,000 light-years from Federation space. Voyager's crew and the Maquis form an uneasy truce to rescue crewmen of both ships, kidnapped by the probe's builder, the powerful, dying Caretaker. The Maquis ship is destroyed in a battle with the warlike Kazons. To prevent a Kazon aggression against a helpless world, Voyager destroys the space probe. Without the probe, it will take 75 years for Voyager to travel back to Federation space. With the differences between them rendered meaningless by time and distance, The Federation and Maquis crews unite aboard Voyager. Together, they embark on their new mission: to boldly go - home.",,7.8,"[{""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f3457eb5061f8f7cab919ab67235c5d4cd""}, {""id"": ""0b60f2f3ea3fd0aa6d8db1645a71aff3d937cf3d""}]"
tt0098382,"Action, Adventure, Fantasy, Sci-Fi, Thriller",William Shatner,,Star Trek V: The Final Frontier,"When the newly-christened starship Enterprise's shakedown cruise goes poorly, Captain Kirk and crew put her into Spacedock for repairs. But an urgent mission interrupts their Earth-bound shore leave. A renegade Vulcan named Sybok has taken three ambassadors hostage on Nimbus III, the Planet of Galactic Peace. This event also attracts the attention of a Klingon captain who wants to make a name for himself and sets out to pursue the Enterprise. Sybok's ragtag army captures the Enterprise and takes her on a journey to the center of the galaxy in search of the Supreme Being.",,5.5,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f31d2ed5486a46a9e402db6834facf1bb2""}, {""id"": ""0b60f2f39e4d7afff686defce6e7bed210da4d25""}, {""id"": ""0b60f2f3accf917c294d65df1c30e69a878ace50""}, {""id"": ""0b60f2f3accf917c294d65df1c30e69a878ace50""}]"
tt1185834,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Dave Filoni,,Star Wars: The Clone Wars,"As the Clone Wars sweep through the galaxy, the heroic Jedi Knights struggle to maintain order and restore peace. More and more systems are falling prey to the forces of the dark side as the Galactic Republic slips further and further under the sway of the Separatists and their never-ending droid army. Anakin Skywalker and his Padawan learner Ahsoka Tano find themselves on a mission with far-reaching consequences, one that brings them face-to-face with crime lord Jabba the Hutt. But Count Dooku and his sinister agents, including the nefarious Asajj Ventress, will stop at nothing to ensure that Anakin and Ahsoka fail at their quest. Meanwhile, on the front lines of the Clone Wars, Obi-Wan Kenobi and Master Yoda lead the massive clone army in a valiant effort to resist the forces of the dark side ...",,5.9,"[{""id"": ""0b60f2f347164adcba8c19f4da4b8f2814ea0c0d""}, {""id"": ""0b60f2f3aa0bd04962fca3c65c5859839ab49eda""}, {""id"": ""0b60f2f3f338c0e36939ec3614568c94bfdb3992""}]"
tt0458290,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",N/A,0b60f2f348adc2f668a9a090165e24f3d3a7cf5a,Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,,8.2,
tt0106145,"Action, Adventure, Drama, Sci-Fi",N/A,,Star Trek: Deep Space Nine,"The stable wormhole discovered by the Deep Space Nine crew is known to the Bajoran people as the Celestial Temple of their Prophets. Sisko, as discoverer of the wormhole and its inhabitants, is therefore the Emissary of Bajoran prophesy. The wormhole's other end is in the Gamma Quadrant, halfway around the galaxy from Bajor. That section of space is dominated by the malevolent Dominion. The Dominion is led by the Changelings, the race of shapeshifters to which Odo belongs. As of the beginning of the sixth season, Cardassia has joined the Dominion, and together they are waging war on the Federation and their Klingon allies. The war is quickly becoming the most costly war ever for the Federation, and the Deep Space Nine crew must fight to protect their way of life.",,7.9,"[{""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f3457eb5061f8f7cab919ab67235c5d4cd""}]"
tt0244365,"Action, Adventure, Drama, Sci-Fi",N/A,,Star Trek: Enterprise,"The year is 2151. Earth has spent the last 88 years since learning how to travel faster than the speed of light studying under the wisdom of their alien ally called the 'Vulcans'. Now, the first crew of human explorers sets out into deep space on a ship called the 'Enterprise' to see what is beyond our solar system.",,7.5,"[{""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f36225f51bfb83f4cc8558c0383c4ab015""}]"
tt0202470,"Drama, Music",Stephen Herek,0b60f2f305e3e0635dbdec84edf844c41f472f0a,Rock Star,"Chris Cole was born to rock. His longtime girlfriend Emily believes his talent could take him all the way - but Chris worships at the altar of Bobby Beers, the fiery frontman for heavy metal legends Steel Dragon. By day, Chris still lives at home with his parents and spends his days repairing copy machines. But when Chris takes the stage, fronting Pennsylvania's premiere Steel Dragon tribute band, all of that disappears. Chris Cole is Bobby Beers - mesmerizing audiences with his perfect imitation of Beers' electrifying vocals. The night his bandmates boot him out of the group, Chris is devastated - until an unexpected phone call changes his life forever: He, Chris Cole, has been tapped to replace Bobby Beers as the lead singer of Steel Dragon. In an instant, Chris rockets to the dizzying heights of sudden stardom, rising from devotee to icon, from rock fan to rock god - the wanna-be who got to be. So what happens when an average guy gets everything he wants - and discovers it's not enough?",,6.3,
tt8806524,"Action, Adventure, Drama, Sci-Fi",N/A,,Star Trek: Picard,Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard (Sir Patrick Stewart) in the next chapter of his life.,,7.7,"[{""id"": ""0b60f2f3c612dfd8e888a0696f347b7a28ec5306""}, {""id"": ""0b60f2f37e9e97c2b83dacb57ee6e1d15d2232cd""}, {""id"": ""0b60f2f3efa3dea62a996ee98540e5db00a3b5d2""}, {""id"": ""0b60f2f35a158dc6d9c6a2024da15ab6ec6f56dc""}]"
tt0116905,"Drama, Mystery",John Sayles,0b60f2f31c83aca8549d842a75b8ec84591afb17,Lone Star,"John Sayles' murder-mystery explores interpersonal and interracial tensions in Rio County, Texas. Sam Deeds is the local sheriff who is called to investigate a 40-year-old skeleton found in the desert....As Sam delves deeper into the town's dark secrets, he begins to learn more about his father, the legendary former sheriff Buddy Deeds, who replaced the corrupt Charlie Wade. While Sam puzzles out the long-past events surrounding the mystery corpse, he also longs to rekindle a romance with his old high-school flame. Sayles' complex characters are brought together as the tightly woven plot finally draws to its dramatic close.",,7.4,
tt2930604,"Animation, Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",N/A,,Star Wars Rebels,"An animated TV series set between the events of Episode III and IV, Star Wars Rebels takes place in a time where the Empire is securing its grip on the galaxy and hunting down the last of the Jedi Knights as a fledgling rebellion against the Empire is taking shape.",,8.0,"[{""id"": ""0b60f2f37430702949d9ec90dfbfd3498e87de3d""}, {""id"": ""0b60f2f35f2ec215e4adb26fba2d933c40e44f50""}, {""id"": ""0b60f2f38dcbf64a10d50730022b1e3f99210b2e""}]"
